    r              c             beta           thickness
 4.9600e+000     2.4200e+000     8.5000e+000    36.2500e+000
 6.4600e+000     3.0400e+000     8.0000e+000    30.5800e+000
 6.9600e+000     3.2500e+000     7.8300e+000    29.2300e+000
 7.9600e+000     3.1500e+000     7.5000e+000    26.5300e+000
 9.4600e+000     3.0000e+000     7.0000e+000    24.1000e+000
10.9600e+000     2.8500e+000     6.5000e+000    22.5500e+000
12.4600e+000     2.7000e+000     6.0000e+000    21.1300e+000
13.9600e+000     2.5500e+000     5.5000e+000    19.8500e+000
15.4600e+000     2.4000e+000     5.0000e+000    18.7000e+000
16.9600e+000     2.2500e+000     4.5000e+000    17.6900e+000
18.4600e+000     2.1000e+000     4.0000e+000    16.8100e+000
19.9600e+000     1.9500e+000     3.5000e+000    16.0700e+000
21.4600e+000     1.8000e+000     3.0000e+000    15.4600e+000
22.9600e+000     1.6500e+000     2.5000e+000    14.9200e+000
24.4600e+000     1.5000e+000     2.0000e+000    14.3800e+000
25.9600e+000     1.3500e+000     1.5000e+000    13.8400e+000
27.4600e+000     1.2000e+000     1.0000e+000    13.3000e+000
28.9600e+000     1.0500e+000   500.0000e-003    12.7600e+000
30.4600e+000   900.0000e-003   160.0000e-003    12.2200e+000
30.5500e+000   900.0000e-003   160.0000e-003    12.2200e+000
